"","County","Date","Year","taxon_name","mass","sex","tail","wing.chord","anterior.culmen","posterior.culmen","tarsus","Age","mean_trachea_length","trachea.diameter","sample_year","data.origin","NK"
"1","2",0050-11-05,NA,"Antigone canadensis tabida",5353,"F",204,531,90.3,104,233,"ADULT",NA,NA,50,"NMDGF",NA
"2","2",0083-11-22,1983,"Antigone canadensis tabida",NA,"M",210,542,NA,102,242,"ADULT",NA,NA,83,"NMDGF",NA
"3","2",0083-11-22,1983,"Antigone canadensis tabida",NA,"F",200,520,NA,97,229,"ADULT",NA,NA,83,"NMDGF",NA
"4","2",0083-11-22,1983,"Antigone canadensis tabida",NA,"M",216,526,NA,103,243,"ADULT",NA,NA,83,"NMDGF",NA
"5","2",0083-11-22,1983,"Antigone canadensis tabida",NA,"F",215,508,NA,99,229,"ADULT",NA,NA,83,"NMDGF",NA
"6","2",0083-11-30,1983,"Antigone canadensis tabida",NA,"M",202,522,NA,115,249,"ADULT",NA,NA,83,"NMDGF",NA
"7","2",0083-11-30,1983,"Antigone canadensis tabida",NA,"F",NA,490,NA,95,230,"ADULT",NA,NA,83,"NMDGF",NA
"8","2",0083-11-30,1983,"Antigone canadensis tabida",NA,"F",195,495,NA,103,246,"ADULT",NA,NA,83,"NMDGF",NA
"9","2",0083-11-30,1983,"Antigone canadensis tabida",NA,"F",193,506,NA,95,226,"ADULT",NA,NA,83,"NMDGF",NA
"10","2",0083-11-30,1983,"Antigone canadensis tabida",NA,"M",205,523,NA,100,247,"ADULT",NA,NA,83,"NMDGF",NA
"11","2",0083-11-30,1983,"Antigone canadensis tabida",NA,"M",212,556,NA,112,250,"ADULT",NA,NA,83,"NMDGF",NA
"12","2",0084-01-05,1983,"Antigone canadensis tabida",NA,"M",217,530,NA,100,229,"ADULT",NA,NA,84,"NMDGF",NA
"13","2",0084-01-06,1983,"Antigone canadensis tabida",NA,"M",210,540,NA,109,240,"ADULT",NA,NA,84,"NMDGF",NA
"14","2",0084-02-08,1983,"Antigone canadensis tabida",NA,"M",199,514,NA,114,252,"ADULT",NA,NA,84,"NMDGF",NA
"15","2",0084-02-08,1983,"Antigone canadensis tabida",NA,"M",195,495,NA,105,242,"ADULT",NA,NA,84,"NMDGF",NA
"16","2",0084-02-08,1983,"Antigone canadensis tabida",NA,"M",183,526,NA,100,243,"ADULT",NA,NA,84,"NMDGF",NA
"17","2",0084-02-08,1983,"Antigone canadensis tabida",NA,"F",200,508,NA,103,241,"ADULT",NA,NA,84,"NMDGF",NA
"18","2",0084-02-09,1983,"Antigone canadensis tabida",NA,"F",200,523,NA,97,216,"ADULT",NA,NA,84,"NMDGF",NA
"19","2",0084-02-09,1983,"Antigone canadensis tabida",NA,"M",216,542,NA,104,233,"ADULT",NA,NA,84,"NMDGF",NA
"20","2",0084-02-09,1983,"Antigone canadensis tabida",NA,"F",193,505,NA,98,221,"ADULT",NA,NA,84,"NMDGF",NA
"21","2",0084-02-09,1983,"Antigone canadensis tabida",NA,"M",183,508,NA,100,231,"ADULT",NA,NA,84,"NMDGF",NA
"22","2",0084-02-09,1983,"Antigone canadensis tabida",NA,"M",203,545,NA,104,242,"ADULT",NA,NA,84,"NMDGF",NA
"23","2",0084-02-11,1983,"Antigone canadensis tabida",NA,"M",197,537,NA,104,244,"ADULT",NA,NA,84,"NMDGF",NA
"24","2",0084-02-11,1983,"Antigone canadensis tabida",NA,"F",195,529,NA,96,232,"ADULT",NA,NA,84,"NMDGF",NA
"25","2",0084-02-11,1983,"Antigone canadensis tabida",NA,"M",205,534,NA,103,235,"ADULT",NA,NA,84,"NMDGF",NA
