"","County","Date","Year","taxon_name","mass","sex","tail","wing.chord","anterior.culmen","posterior.culmen","tarsus","Age","mean_trachea_length","trachea.diameter","sample_year","data.origin","NK"
"1","2",0084-01-06,1983,"Antigone canadensis canadensis",NA,"F",170,454,NA,70,190,"ADULT",NA,NA,84,"NMDGF",NA
"2","2",0084-01-06,1983,"Antigone canadensis canadensis",NA,"M",175,480,NA,74,170,"ADULT",NA,NA,84,"NMDGF",NA
"3","2",0084-01-06,1983,"Antigone canadensis canadensis",NA,"F",170,445,NA,73,180,"ADULT",NA,NA,84,"NMDGF",NA
"4","2",0084-01-06,1983,"Antigone canadensis canadensis",NA,"M",170,460,NA,73,195,"ADULT",NA,NA,84,"NMDGF",NA
"5","2",0084-01-06,1983,"Antigone canadensis canadensis",NA,"M",180,490,NA,78,185,"ADULT",NA,NA,84,"NMDGF",NA
"6","2",0084-02-08,1983,"Antigone canadensis canadensis",NA,"M",175,445,NA,70,180,"ADULT",NA,NA,84,"NMDGF",NA
"7","2",0084-02-11,1983,"Antigone canadensis canadensis",NA,"F",165,462,NA,74,185,"ADULT",NA,NA,84,"NMDGF",NA
"8","2",0086-10-16,1986,"Antigone canadensis canadensis",NA,"F",NA,457,NA,64,167,"ADULT",NA,NA,86,"NMDGF",NA
"9","2",0086-10-16,1986,"Antigone canadensis canadensis",NA,"F",NA,465,NA,73,187,"ADULT",NA,NA,86,"NMDGF",NA
"10","2",0086-10-16,1986,"Antigone canadensis canadensis",NA,"M",NA,482,NA,72,179,"ADULT",NA,NA,86,"NMDGF",NA
"11","2",0086-10-16,1986,"Antigone canadensis canadensis",NA,"M",NA,NA,NA,67,187,"ADULT",NA,NA,86,"NMDGF",NA
"12","2",0086-10-16,1986,"Antigone canadensis canadensis",NA,"M",NA,500,NA,62,167,"ADULT",NA,NA,86,"NMDGF",NA
"13","2",0086-10-16,1986,"Antigone canadensis canadensis",NA,"M",NA,441,NA,62,163,"ADULT",NA,NA,86,"NMDGF",NA
"14","2",0086-10-16,1986,"Antigone canadensis canadensis",NA,"F",NA,450,NA,64,180,"ADULT",NA,NA,86,"NMDGF",NA
"15","2",0086-10-16,1986,"Antigone canadensis canadensis",NA,"F",NA,452,NA,69,167,"ADULT",NA,NA,86,"NMDGF",NA
"16","2",0086-10-16,1986,"Antigone canadensis canadensis",NA,"F",NA,475,NA,69,175,"ADULT",NA,NA,86,"NMDGF",NA
"17","2",0086-10-16,1986,"Antigone canadensis canadensis",NA,"M",NA,470,NA,73,190,"ADULT",NA,NA,86,"NMDGF",NA
"18","2",0086-10-16,1986,"Antigone canadensis canadensis",NA,"F",NA,480,NA,67,187,"ADULT",NA,NA,86,"NMDGF",NA
"19","2",0086-10-17,1986,"Antigone canadensis canadensis",NA,"F",NA,443,NA,69,183,"ADULT",NA,NA,86,"NMDGF",NA
"20","2",0086-10-17,1986,"Antigone canadensis canadensis",NA,"F",NA,445,NA,69,172,"ADULT",NA,NA,86,"NMDGF",NA
"21","2",0086-10-18,1986,"Antigone canadensis canadensis",NA,"F",NA,450,NA,72,205,"ADULT",NA,NA,86,"NMDGF",NA
"22","2",0086-10-18,1986,"Antigone canadensis canadensis",NA,"F",NA,443,NA,65,192,"ADULT",NA,NA,86,"NMDGF",NA
"23","2",0086-10-18,1986,"Antigone canadensis canadensis",NA,"F",NA,455,NA,65,187,"ADULT",NA,NA,86,"NMDGF",NA
"24","2",0086-10-18,1986,"Antigone canadensis canadensis",NA,"M",NA,486,NA,74,187,"ADULT",NA,NA,86,"NMDGF",NA
"25","2",0086-10-18,1986,"Antigone canadensis canadensis",NA,"M",NA,488,NA,71,191,"ADULT",NA,NA,86,"NMDGF",NA
"26","2",0086-10-18,1986,"Antigone canadensis canadensis",NA,"M",NA,485,NA,71,171,"ADULT",NA,NA,86,"NMDGF",NA
"27","2",0086-10-18,1986,"Antigone canadensis canadensis",NA,"F",NA,482,NA,73,NA,"ADULT",NA,NA,86,"NMDGF",NA
"28","2",0086-10-18,1986,"Antigone canadensis canadensis",NA,"F",NA,415,NA,63,157,"ADULT",NA,NA,86,"NMDGF",NA
"29","2",0086-10-18,1986,"Antigone canadensis canadensis",NA,"M",NA,491,NA,67,187,"ADULT",NA,NA,86,"NMDGF",NA
"30","3",0086-10-18,1986,"Antigone canadensis canadensis",NA,"M",NA,485,NA,72,179,"ADULT",NA,NA,86,"NMDGF",NA
"31","3",0086-10-18,1986,"Antigone canadensis canadensis",NA,"F",NA,460,NA,65,177,"ADULT",NA,NA,86,"NMDGF",NA
"32","3",0086-10-18,1986,"Antigone canadensis canadensis",NA,"F",NA,415,NA,69,173,"ADULT",NA,NA,86,"NMDGF",NA
"33","3",0086-10-18,1986,"Antigone canadensis canadensis",NA,"F",NA,438,NA,63,175,"ADULT",NA,NA,86,"NMDGF",NA
"34","2",0086-10-19,1986,"Antigone canadensis canadensis",NA,"M",NA,429,NA,74,177,"ADULT",NA,NA,86,"NMDGF",NA
"35","2",0086-10-19,1986,"Antigone canadensis canadensis",NA,"M",NA,454,NA,76,214,"ADULT",NA,NA,86,"NMDGF",NA
"36","2",0086-10-19,1986,"Antigone canadensis canadensis",NA,"F",NA,455,NA,63,177,"ADULT",NA,NA,86,"NMDGF",NA
"37","2",0086-10-19,1986,"Antigone canadensis canadensis",NA,"M",NA,470,NA,65,201,"ADULT",NA,NA,86,"NMDGF",NA
