"","County","Date","Year","taxon_name","mass","sex","tail","wing.chord","anterior.culmen","posterior.culmen","tarsus","Age","mean_trachea_length","trachea.diameter","sample_year","data.origin","NK","wt.index"
"1","2",0087-10-17,1987,"Antigone canadensis tabida",5800,"M",0,528,83.6,104.7,244,"ADULT",NA,NA,87,"NMDGF",NA,2.16393442622951
"2","2",0087-10-17,1987,"Antigone canadensis tabida",4700,"F",0,516,75.3,97.4,212,"ADULT",NA,NA,87,"NMDGF",NA,2.43396226415094
"3","2",0087-10-17,1987,"Antigone canadensis tabida",5300,"F",0,517,85.2,98.1,242,"ADULT",NA,NA,87,"NMDGF",NA,2.13636363636364
"4","2",0087-10-17,1987,"Antigone canadensis canadensis",2700,"F",0,464,55.8,68.5,172,"ADULT",NA,NA,87,"NMDGF",NA,2.69767441860465
"5","2",0087-10-17,1987,"Antigone canadensis tabida",5200,"M",0,563,81.1,99.4,238,"ADULT",NA,NA,87,"NMDGF",NA,2.3655462184874
"6","2",0087-10-17,1987,"Antigone canadensis tabida",5300,"F",0,506,85,98.9,227,"ADULT",NA,NA,87,"NMDGF",NA,2.22907488986784
"7","2",0087-10-17,1987,"Antigone canadensis tabida",5700,"M",0,531,83.9,112,244,"ADULT",NA,NA,87,"NMDGF",NA,2.17622950819672
"8","2",0087-10-17,1987,"Antigone canadensis tabida",5400,"M",0,537,86.8,102.5,236,"ADULT",NA,NA,87,"NMDGF",NA,2.27542372881356
"9","2",0087-10-17,1987,"Antigone canadensis canadensis",3200,"M",0,473,58,69,178,"ADULT",NA,NA,87,"NMDGF",NA,2.65730337078652
"10","2",0087-10-17,1987,"Antigone canadensis tabida",4400,"F",0,492,78.2,91.8,218,"ADULT",NA,NA,87,"NMDGF",NA,2.25688073394495
"11","2",0087-10-17,1987,"Antigone canadensis canadensis",3700,"M",0,476,59.8,67.9,187,"ADULT",NA,NA,87,"NMDGF",NA,2.54545454545455
"12","2",0087-10-17,1987,"Antigone canadensis tabida",5800,"M",0,547,83.8,100.7,229,"ADULT",NA,NA,87,"NMDGF",NA,2.38864628820961
"13","2",0087-10-17,1987,"Antigone canadensis canadensis",3000,"M",0,431,53.3,66,182,"ADULT",NA,NA,87,"NMDGF",NA,2.36813186813187
"14","2",0087-10-17,1987,"Antigone canadensis canadensis",3150,"M",0,473,56.3,68.7,202,"ADULT",NA,NA,87,"NMDGF",NA,2.34158415841584
"15","2",0087-10-18,1987,"Antigone canadensis tabida",5600,"M",0,529,80.2,97.8,230,"ADULT",NA,NA,87,"NMDGF",NA,2.3
"16","2",0087-10-18,1987,"Antigone canadensis tabida",5300,"M",0,516,86.6,103.3,226,"ADULT",NA,NA,87,"NMDGF",NA,2.28318584070796
"17","2",0087-10-18,1987,"Antigone canadensis tabida",5500,"M",0,545,83.4,96.8,238,"ADULT",NA,NA,87,"NMDGF",NA,2.28991596638655
"18","2",0087-10-18,1987,"Antigone canadensis tabida",4700,"F",0,507,80.3,96.2,221,"ADULT",NA,NA,87,"NMDGF",NA,2.29411764705882
"19","2",0087-10-18,1987,"Antigone canadensis canadensis",3000,"F",0,444,55.6,63.6,187,"ADULT",NA,NA,87,"NMDGF",NA,2.37433155080214
"20","2",0087-10-18,1987,"Antigone canadensis tabida",5400,"M",0,562,88.2,104,249,"ADULT",NA,NA,87,"NMDGF",NA,2.2570281124498
"21","2",0087-10-18,1987,"Antigone canadensis tabida",4800,"F",0,503,79.8,93.3,220,"ADULT",NA,NA,87,"NMDGF",NA,2.28636363636364
"22","2",0087-10-18,1987,"Antigone canadensis canadensis",3100,"F",0,452,54.9,64.7,206,"ADULT",NA,NA,87,"NMDGF",NA,2.19417475728155
"23","2",0087-10-18,1987,"Antigone canadensis canadensis",2900,"F",0,435,57.9,69.1,178,"ADULT",NA,NA,87,"NMDGF",NA,2.4438202247191
"24","2",0087-10-18,1987,"Antigone canadensis tabida",5900,"M",0,549,91.1,105.3,246,"ADULT",NA,NA,87,"NMDGF",NA,2.23170731707317
"25","2",0087-10-18,1987,"Antigone canadensis tabida",5200,"F",0,524,85.3,99.6,226,"ADULT",NA,NA,87,"NMDGF",NA,2.31858407079646
"26","2",0087-10-18,1987,"Antigone canadensis canadensis",2700,"F",0,429,61.6,72.7,176,"ADULT",NA,NA,87,"NMDGF",NA,2.4375
"27","2",0087-10-23,1987,"Antigone canadensis tabida",6000,"M",0,536,87.7,98.2,229,"ADULT",NA,NA,87,"NMDGF",NA,2.34061135371179
"28","2",0087-10-24,1987,"Antigone canadensis tabida",4700,"F",0,507,83.9,97.3,219,"ADULT",NA,NA,87,"NMDGF",NA,2.31506849315068
"29","2",0087-10-24,1987,"Antigone canadensis tabida",5750,"M",0,546,87.9,99.9,231,"ADULT",NA,NA,87,"NMDGF",NA,2.36363636363636
"30","2",0087-10-24,1987,"Antigone canadensis canadensis",3500,"M",0,472,63.2,75.9,172,"ADULT",NA,NA,87,"NMDGF",NA,2.74418604651163
"31","2",0087-10-25,1987,"Antigone canadensis canadensis",3400,"M",0,452,59.4,67.8,172,"ADULT",NA,NA,87,"NMDGF",NA,2.62790697674419
"32","2",0087-10-25,1987,"Antigone canadensis tabida",5300,"M",0,504,81.9,101,230,"ADULT",NA,NA,87,"NMDGF",NA,2.19130434782609
"33","2",0087-10-25,1987,"Antigone canadensis tabida",6100,"M",0,542,84.8,100.7,242,"ADULT",NA,NA,87,"NMDGF",NA,2.2396694214876
"34","2",0087-10-25,1987,"Antigone canadensis tabida",5900,"M",0,557,88.8,99.2,235,"ADULT",NA,NA,87,"NMDGF",NA,2.37021276595745
"35","2",0087-10-31,1987,"Antigone canadensis tabida",5000,"F",0,511,85,100.1,216,"ADULT",NA,NA,87,"NMDGF",NA,2.36574074074074
"36","2",0087-10-31,1987,"Antigone canadensis canadensis",3150,"M",0,473,62.4,75.8,179,"ADULT",NA,NA,87,"NMDGF",NA,2.64245810055866
"37","2",0087-10-31,1987,"Antigone canadensis tabida",4600,"F",0,510,77.2,95.2,237,"ADULT",NA,NA,87,"NMDGF",NA,2.15189873417722
"38","2",0087-10-31,1987,"Antigone canadensis tabida",4700,"F",0,463,83.5,94.5,218,"ADULT",NA,NA,87,"NMDGF",NA,2.12385321100917
"39","2",0087-10-31,1987,"Antigone canadensis tabida",4400,"F",0,512,77.4,93.3,212,"ADULT",NA,NA,87,"NMDGF",NA,2.41509433962264
"40","2",0087-10-31,1987,"Antigone canadensis tabida",4900,"F",0,488,81,93.9,218,"ADULT",NA,NA,87,"NMDGF",NA,2.23853211009174
"41","2",0087-10-31,1987,"Antigone canadensis tabida",5700,"M",0,534,95.2,101.1,241,"ADULT",NA,NA,87,"NMDGF",NA,2.21576763485477
"42","2",0087-10-31,1987,"Antigone canadensis tabida",5100,"M",0,551,81.8,98.3,233,"ADULT",NA,NA,87,"NMDGF",NA,2.36480686695279
"43","2",0087-10-31,1987,"Antigone canadensis tabida",4500,"F",0,522,83.8,102.5,223,"ADULT",NA,NA,87,"NMDGF",NA,2.34080717488789
"44","2",0088-10-15,1988,"Antigone canadensis canadensis",3000,"F",0,457,56.9,70.8,183,"ADULT",NA,NA,88,"NMDGF",NA,2.49726775956284
"45","2",0088-10-15,1988,"Antigone canadensis canadensis",2900,"F",0,434,53.8,66.7,193,"ADULT",NA,NA,88,"NMDGF",NA,2.24870466321244
"46","2",0088-10-15,1988,"Antigone canadensis tabida",5500,"M",0,533,98.1,113.5,224,"ADULT",NA,NA,88,"NMDGF",NA,2.37946428571429
"47","2",0088-10-15,1988,"Antigone canadensis tabida",5600,"M",0,545,99.4,118.1,250,"ADULT",NA,NA,88,"NMDGF",NA,2.18
"48","2",0088-10-15,1988,"Antigone canadensis canadensis",2800,"F",0,440,57.7,68,178,"ADULT",NA,NA,88,"NMDGF",NA,2.47191011235955
"49","2",0088-10-15,1988,"Antigone canadensis tabida",4600,"F",0,492,77.1,96.8,237,"ADULT",NA,NA,88,"NMDGF",NA,2.07594936708861
"50","2",0088-10-15,1988,"Antigone canadensis tabida",4800,"F",0,510,74.7,94.3,223,"ADULT",NA,NA,88,"NMDGF",NA,2.28699551569507
"51","2",0088-10-15,1988,"Antigone canadensis tabida",4700,"F",0,513,79.3,97.5,233,"ADULT",NA,NA,88,"NMDGF",NA,2.20171673819742
"52","2",0088-10-15,1988,"Antigone canadensis tabida",6100,"M",0,544,85.9,105.7,236,"ADULT",NA,NA,88,"NMDGF",NA,2.30508474576271
"53","2",0088-10-15,1988,"Antigone canadensis canadensis",3000,"F",0,444,55.3,67.7,177,"ADULT",NA,NA,88,"NMDGF",NA,2.50847457627119
"54","2",0088-10-16,1988,"Antigone canadensis tabida",6200,"M",0,551,58.6,119.2,245,"ADULT",NA,NA,88,"NMDGF",NA,2.24897959183673
"55","2",0088-10-16,1988,"Antigone canadensis canadensis",3400,"F",0,447,54.8,65.1,179,"ADULT",NA,NA,88,"NMDGF",NA,2.49720670391061
"56","2",0088-10-16,1988,"Antigone canadensis canadensis",3600,"M",0,471,61.9,70.9,174,"ADULT",NA,NA,88,"NMDGF",NA,2.70689655172414
"57","2",0088-10-16,1988,"Antigone canadensis canadensis",2900,"F",0,455,53.9,67.5,176,"ADULT",NA,NA,88,"NMDGF",NA,2.58522727272727
"58","2",0088-10-16,1988,"Antigone canadensis tabida",5600,"F",0,516,84.5,104.7,234,"ADULT",NA,NA,88,"NMDGF",NA,2.20512820512821
"59","2",0088-10-16,1988,"Antigone canadensis canadensis",3500,"M",0,458,59.1,79.4,174,"ADULT",NA,NA,88,"NMDGF",NA,2.63218390804598
"60","2",0088-10-16,1988,"Antigone canadensis tabida",5200,"M",0,525,88.9,109,227,"ADULT",NA,NA,88,"NMDGF",NA,2.31277533039648
"61","2",0088-10-16,1988,"Antigone canadensis tabida",5300,"M",0,546,89,99.4,241,"ADULT",NA,NA,88,"NMDGF",NA,2.2655601659751
"62","2",0088-10-16,1988,"Antigone canadensis tabida",5200,"M",0,528,81.1,100.5,241,"ADULT",NA,NA,88,"NMDGF",NA,2.19087136929461
"63","2",0088-10-22,1988,"Antigone canadensis tabida",5800,"M",0,536,90.3,108.3,256,"ADULT",NA,NA,88,"NMDGF",NA,2.09375
"64","2",0088-10-22,1988,"Antigone canadensis tabida",5200,"F",0,540,75.3,95.3,225,"ADULT",NA,NA,88,"NMDGF",NA,2.4
"65","2",0088-10-22,1988,"Antigone canadensis tabida",4900,"F",0,505,78.4,93.2,231,"ADULT",NA,NA,88,"NMDGF",NA,2.18614718614719
"66","2",0088-10-22,1988,"Antigone canadensis canadensis",3400,"M",0,460,56.1,72.3,183,"ADULT",NA,NA,88,"NMDGF",NA,2.51366120218579
"67","2",0088-10-22,1988,"Antigone canadensis tabida",5000,"M",0,530,92.3,106.6,256,"ADULT",NA,NA,88,"NMDGF",NA,2.0703125
"68","2",0088-10-22,1988,"Antigone canadensis canadensis",3400,"M",0,456,61.9,75.5,188,"ADULT",NA,NA,88,"NMDGF",NA,2.42553191489362
"69","2",0088-10-22,1988,"Antigone canadensis canadensis",3100,"F",0,460,54.9,71.3,188,"ADULT",NA,NA,88,"NMDGF",NA,2.4468085106383
"70","2",0088-10-22,1988,"Antigone canadensis tabida",5300,"M",0,557,86.5,109.4,238,"ADULT",NA,NA,88,"NMDGF",NA,2.34033613445378
"71","2",0088-10-22,1988,"Antigone canadensis canadensis",3000,"M",0,475,57.3,72.1,183,"ADULT",NA,NA,88,"NMDGF",NA,2.59562841530055
"72","2",0088-10-22,1988,"Antigone canadensis tabida",4600,"F",0,510,74.2,90.9,223,"ADULT",NA,NA,88,"NMDGF",NA,2.28699551569507
"73","2",0088-10-23,1988,"Antigone canadensis tabida",4700,"F",0,505,76.1,91.7,238,"ADULT",NA,NA,88,"NMDGF",NA,2.1218487394958
"74","2",0088-10-23,1988,"Antigone canadensis canadensis",3300,"M",0,450,58.7,71.8,186,"ADULT",NA,NA,88,"NMDGF",NA,2.41935483870968
"75","2",0088-10-23,1988,"Antigone canadensis canadensis",3200,"F",0,426,58.3,65.4,180,"ADULT",NA,NA,88,"NMDGF",NA,2.36666666666667
"76","2",0088-10-23,1988,"Antigone canadensis tabida",5500,"M",0,512,97.2,108.5,227,"ADULT",NA,NA,88,"NMDGF",NA,2.25550660792952
"77","2",0088-10-23,1988,"Antigone canadensis tabida",5700,"M",0,552,79.8,94.2,228,"ADULT",NA,NA,88,"NMDGF",NA,2.42105263157895
"78","2",0088-10-23,1988,"Antigone canadensis tabida",4900,"F",0,487,88.3,101.7,225,"ADULT",NA,NA,88,"NMDGF",NA,2.16444444444444
"79","2",0088-10-23,1988,"Antigone canadensis tabida",5800,"M",0,525,85.8,103.3,254,"ADULT",NA,NA,88,"NMDGF",NA,2.06692913385827
"80","2",0088-10-23,1988,"Antigone canadensis tabida",5600,"M",0,535,81.7,98.8,226,"ADULT",NA,NA,88,"NMDGF",NA,2.36725663716814
"81","2",0088-10-23,1988,"Antigone canadensis canadensis",3400,"M",0,500,63.6,78.2,208,"ADULT",NA,NA,88,"NMDGF",NA,2.40384615384615
"82","2",0088-10-23,1988,"Antigone canadensis tabida",5400,"M",0,538,88.3,110.3,240,"ADULT",NA,NA,88,"NMDGF",NA,2.24166666666667
"83","2",0088-10-23,1988,"Antigone canadensis tabida",4700,"F",0,508,74.9,91.7,224,"ADULT",NA,NA,88,"NMDGF",NA,2.26785714285714
"84","2",0088-10-23,1988,"Antigone canadensis tabida",6200,"M",0,526,94.8,107.9,247,"ADULT",NA,NA,88,"NMDGF",NA,2.12955465587045
"85","2",0088-10-23,1988,"Antigone canadensis tabida",6100,"M",0,548,88.2,104.1,235,"ADULT",NA,NA,88,"NMDGF",NA,2.33191489361702
"86","2",0088-10-23,1988,"Antigone canadensis canadensis",3400,"M",0,471,62.1,73.2,187,"ADULT",NA,NA,88,"NMDGF",NA,2.51871657754011
